user_nick,crow_name,f_type,f_device,f_product_line,f_campaign,f_group,f_impression,f_click,f_click_rate,cost,ecpm,cpc,order_cnt,order_amt,cvr,roi
midea0bx3,智能定向人群0视觉定向,智能定向,无线,京东直投,,,1119515,7512,0.67%,7294.37,6.52,0.97,33,87808,0.44%,12.04
midea0bx3,智能定向人群0视觉定向,智能定向,无线,京东直投,,,936311,6368,0.68%,6241.65,6.67,0.98,21,39615,0.33%,6.35
midea0bx3,【新】DMP030天跨品类拉新,新标签人群,无线,京东直投,,,920072,1216,0.13%,3275.83,3.56,2.69,7,16693,0.58%,5.1
midea0bx3,自定义0美的0全品类意向,标签人群,无线,京东直投,,,392820,2442,0.62%,1949.78,4.96,0.8,7,17493,0.29%,8.97
midea0bx3,【新】DMP0美的冰箱品牌意向,新标签人群,无线,品牌聚效,冰箱投放测试_九数,冰箱测试_品牌意向_DMP0美的品牌意向,377500,3211,0.85%,44723.64,118.47,13.93,142,330731,4.42%,7.39
midea0bx3,自定义0冰箱0竞品店铺浏览关注加购,标签人群,无线,京东快车(搜索),冰箱0十字0468P_冰箱_单投,冰箱0468WTPM,352103,28462,8.08%,85651.42,243.26,3.01,2703,7827367.83,9.50%,91.39
midea0bx3,【新】DMP0冰箱意向未浏览美的,新标签人群,无线,品牌聚效,冰箱投放测试_九数,冰箱测试_品类意向_DMP0品类意向未浏览品牌,325932,1356,0.42%,21573.63,66.19,15.91,9,16380,0.66%,0.76
midea0bx3,默认浏览人群,京选人群,无线,京东快车(搜索),冰箱0三门0228P_冰箱_单投,冰箱0228WTPZM,324171,11048,3.41%,41887.9,129.22,3.79,1104,2281671,9.99%,54.47
midea0bx3,默认购买人群,京选人群,无线,京东快车(搜索),冰箱0三门0228P_冰箱_单投,冰箱0228WTPZM,310075,10549,3.40%,39576.1,127.63,3.75,1079,2239295,10.23%,56.58
midea0bx3,智能定向人群0视觉定向,智能定向,无线,京东直投,,,285645,1497,0.52%,1215.62,4.26,0.81,2,2998,0.13%,2.47
midea0bx3,【新】DMP冰箱30天浏览偏好未购买,新标签人群,无线,京东直投,,,275702,2193,0.80%,2091.57,7.59,0.95,12,26488,0.55%,12.66
midea0bx3,自定义0美的0冰箱意向,标签人群,无线,京东快车(搜索),冰箱0十字0468P_冰箱_单投,冰箱0468WTPM,269915,24463,9.06%,67045.86,248.4,2.74,2739,7996510.33,11.20%,119.27
midea0bx3,自定义0美的0冰箱意向,标签人群,无线,京东快车(搜索),冰箱0对开门0638_冰箱_单投,冰箱0638WKPZM,248831,20898,8.40%,73598.23,295.78,3.52,2451,8525898,11.73%,115.84
midea0bx3,智能定向人群0视觉定向,智能定向,无线,京东直投,,,240403,1397,0.58%,936.14,3.89,0.67,2,4398,0.14%,4.7
midea0bx3,智能定向人群0视觉定向,智能定向,无线,京东直投,,,234038,1407,0.60%,953.49,4.07,0.68,7,15293,0.50%,16.04
midea0bx3,自定义0美的冰箱意向人群,标签人群,无线,京东快车(搜索),冰箱0对开门0525_冰箱_单投,冰箱0525WKPZM,225511,21400,9.49%,72853.25,323.06,3.4,3635,10993748,16.99%,150.9
midea0bx3,意向人群0冰箱0美的,标签人群,无线,京东快车(搜索),冰箱0对开门0525_冰箱_单投,冰箱0525WKPZM,222327,21209,9.54%,72050.15,324.07,3.4,3623,10975601,17.08%,152.33
midea0bx3,默认浏览人群,京选人群,无线,京东快车(搜索),冰箱0三门0226_冰箱_单投,冰箱0226WTM,220742,15048,6.82%,38633.69,175.02,2.57,2917,7379173,19.38%,191
midea0bx3,自定义0冰箱意向,标签人群,无线,京东直投,,,216217,1657,0.77%,1332.72,6.16,0.8,7,17493,0.42%,13.13
midea0bx3,默认购买人群,京选人群,无线,京东快车(搜索),冰箱0三门0226_冰箱_单投,冰箱0226WTM,212652,14753,6.94%,37830.66,177.9,2.56,2905,7356086,19.69%,194.45
midea0bx3,【新】店铺商品浏览,新标签人群,无线,京东快车(搜索),冰箱0对开门0525_冰箱_单投,冰箱0525WKPZM,200406,19698,9.83%,66365.69,331.16,3.37,3066,8452715,15.57%,127.37
midea0bx3,【新】DMP0冰箱意向未浏览美的,新标签人群,无线,京东直投,,,182186,1400,0.77%,2002.44,10.99,1.43,12,34488,0.86%,17.22
midea0bx3,九数_20190605_冰箱_618跨品_干预组,外部导入人群,无线,京东直投,,,179316,233,0.13%,668.47,3.73,2.87,0,0,0,0
midea0bx3,自定义0美的冰箱意向人群,标签人群,无线,京东快车(搜索),冰箱0对开门0452_冰箱_单投,冰箱0452WKPZM,173482,11439,6.59%,35962.55,207.3,3.14,1160,2939516.18,10.14%,81.74
midea0bx3,意向人群0冰箱0美的,标签人群,无线,京东快车(搜索),冰箱0对开门0452_冰箱_单投,冰箱0452WKPZM,170890,11315,6.62%,35504.72,207.76,3.14,1155,2932132.18,10.21%,82.58
midea0bx3,自定义0美的0全品类意向,标签人群,无线,京东直投,,,164793,1140,0.69%,742.08,4.5,0.65,1,2799,0.09%,3.77
midea0bx3,【新】冰箱0三门TOP浏览未购买,新标签人群,无线,京东快车(搜索),冰箱0三门0228P_冰箱_单投,冰箱0228WTPZM,162901,12640,7.76%,48583.08,298.24,3.84,902,1727965,7.14%,35.57
midea0bx3,自定义0美的0全品类意向,标签人群,无线,京东直投,,,155532,809,0.52%,590.13,3.79,0.73,4,7496,0.49%,12.7
midea0bx3,【新】店铺商品浏览,新标签人群,无线,京东快车(搜索),冰箱0对开门0452_冰箱_单投,冰箱0452WKPZM,155504,10447,6.72%,32486,208.91,3.11,1045,2657920.18,10.00%,81.82
midea0bx3,自定义0冰箱0竞品店铺浏览关注加购,标签人群,无线,京东快车(搜索),冰箱0三门0258P_冰箱_单投,冰箱0258WTPZM,148067,9310,6.29%,23628.26,159.58,2.54,874,1899029,9.39%,80.37
midea0bx3,智能定向人群0视觉定向,智能定向,无线,京东直投,,,136520,738,0.54%,660.14,4.84,0.89,4,6696,0.54%,10.14
midea0bx3,搜索0美的,标签人群,无线,京东快车(搜索),冰箱0多门0421_冰箱_单投,冰箱0421WTPM,135938,7537,5.54%,19688.34,144.83,2.61,356,1035410,4.72%,52.59
midea0bx3,搜索0美的,标签人群,无线,京东直投,,,132682,641,0.48%,508.6,3.83,0.79,2,2398,0.31%,4.71
midea0bx3,自定义0冰箱0竞品店铺浏览关注加购,标签人群,PC,京东快车(搜索),冰箱0十字0468P_冰箱_单投,冰箱0468WTPM,129521,581,0.45%,1003.24,7.75,1.73,60,181689,10.33%,181.1
midea0bx3,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),冰箱0三门0260_冰箱_单投,冰箱0260WTPZM(E),127281,5032,3.95%,12771.63,100.34,2.54,517,1156434.5,10.27%,90.55
midea0bx3,自定义0美的0冰箱意向,标签人群,无线,京东快车(搜索),冰箱0三门0260_冰箱_单投,冰箱0260WTPZM(E),125543,5000,3.98%,12706.15,101.21,2.54,513,1146038.5,10.26%,90.2
midea0bx3,【新】618大促高潜人群,京选人群,无线,京东快车(搜索),店铺推广,腰部广告,123093,3228,2.62%,11168.51,90.73,3.46,154,315784,4.77%,28.27
midea0bx3,九数_20190603_冰箱_618跨品_干预组,外部导入人群,无线,京东直投,,,120686,177,0.15%,498.24,4.13,2.81,0,0,0,0
midea0bx3,九数_20190606_冰箱_618跨品_干预组,外部导入人群,无线,京东直投,,,117891,148,0.13%,404.07,3.43,2.73,0,0,0,0
midea0bx3,618大促类目购买意向人群【冰箱】,标签人群,无线,京东快车(搜索),店铺推广,腰部广告,117642,3126,2.66%,10975.03,93.29,3.51,122,192386,3.90%,17.53
midea0bx3,自定义0美的0冰箱意向,标签人群,无线,京东快车(搜索),冰箱0对开门0639_冰箱_单投,冰箱0639WKPZM,113532,7722,6.80%,12920,113.8,1.67,397,1324532,5.14%,102.52
midea0bx3,【新】DMP0冰箱意向未浏览美的,新标签人群,无线,京东直投,,,113318,733,0.65%,1042.62,9.2,1.42,2,5798,0.27%,5.56
midea0bx3,九数_20190604_冰箱_618跨品_干预组,外部导入人群,无线,京东直投,,,112001,174,0.16%,433.74,3.87,2.49,0,0,0,0
midea0bx3,九数_618_冰箱_类目内_高分段_无品牌倾向_0605,外部导入人群,无线,京东直投,,,103538,157,0.15%,382.4,3.69,2.44,2,4498,1.27%,11.76
midea0bx3,自定义0美的0冰箱意向,标签人群,无线,京东快车(搜索),冰箱0十字0448_冰箱_单投,BCD0448WTPZM(E),102025,3529,3.46%,8507.46,83.39,2.41,116,349172,3.29%,41.04
midea0bx3,九数_20190609_冰箱_618跨品_干预组,外部导入人群,无线,京东直投,,,95098,118,0.12%,333.58,3.51,2.83,2,9598,1.69%,28.77
midea0bx3,【新】618大促高潜人群,京选人群,无线,品牌聚效,京选店铺_冰箱,日常0京选店铺,92659,3630,3.92%,19568.11,211.18,5.39,206,434604.52,5.67%,22.21
