user_nick,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI
Midea-SHDQZY,【新】为浏览过三级类目电饭煲-,新标签人群,无线,京东直投,,,1277521,52356,4.10%,8396.42,6.57,0.16,35,6432.5,0.07%,0.77
Midea-SHDQZY,智能定向人群-视觉定向,智能定向,无线,京东直投,,,531488,16665,3.14%,4865.98,9.16,0.29,44,15359.3,0.26%,3.16
Midea-SHDQZY,【新】未浏览-磁炉,新标签人群,无线,京东直投,,,504167,17603,3.49%,2933.19,5.82,0.17,6,1473.9,0.03%,0.5
Midea-SHDQZY,【新】未浏览-磁炉,新标签人群,无线,京东直投,,,431493,21603,5.01%,3014.26,6.99,0.14,19,4761,0.09%,1.58
Midea-SHDQZY,【新】近7天搜索厨房小电-品聚专用,新标签人群,无线,京东快车(搜索),腰带店铺-_生活电器_腰部广告,腰带店铺-端-活动,275692,8511,3.09%,7282.13,26.41,0.86,1124,282622.58,13.21%,38.81
Midea-SHDQZY,【新】为浏览三级类目多用途锅,新标签人群,无线,京东直投,,,268973,9084,3.38%,1472.9,5.48,0.16,2,194,0.02%,0.13
Midea-SHDQZY,【新】近7天浏览厨房小电-品聚专用,新标签人群,无线,京东快车(搜索),腰带店铺-_生活电器_腰部广告,腰带店铺-端-活动,216251,7457,3.45%,6364.66,29.43,0.85,1016,263104.82,13.62%,41.34
Midea-SHDQZY,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),腰带店铺-_生活电器_腰部广告,腰带店铺-端-活动,189030,6555,3.47%,5274.77,27.9,0.8,868,231374.32,13.24%,43.86
Midea-SHDQZY,自定义-电饭煲兴趣人群,标签人群,无线,京东快车(搜索),电饭煲-明辉_电饭煲_单投,WFZ5099IH-端中,182918,14165,7.74%,32681.81,178.67,2.31,4919,4517748.96,34.73%,138.23
Midea-SHDQZY,默认购买人群,京选人群,无线,京东快车(搜索),电饭煲-明辉_电饭煲_单投,WFZ5099IH-端中,182294,14113,7.74%,32579.78,178.72,2.31,4929,4521403.86,34.93%,138.78
Midea-SHDQZY,【新】近3天搜索电饭煲行业-1018,新标签人群,无线,京东快车(搜索),电饭煲-明辉_电饭煲_单投,WFZ5099IH-端中,180410,12141,6.73%,27660.13,153.32,2.28,3575,2820637.35,29.45%,101.97
Midea-SHDQZY,默认浏览人群,京选人群,无线,京东快车(搜索),MB-FB40P518-明辉-电饭煲_单投,MB-FB40P518明辉--搜索-电饭煲_单投-,177229,13070,7.37%,41893.37,236.38,3.21,2339,1546275.52,17.90%,36.91
Midea-SHDQZY,默认购买人群,京选人群,无线,京东快车(搜索),MB-FB40P518-明辉-电饭煲_单投,MB-FB40P518明辉--搜索-电饭煲_单投-,170537,12726,7.46%,40639.17,238.3,3.19,2311,1547705.62,18.16%,38.08
Midea-SHDQZY,【新】近7天浏览电饭煲-1108,新标签人群,无线,京东快车(搜索),电饭煲-明辉_电饭煲_单投,WFZ5099IH-端中,168038,13384,7.96%,30768.27,183.1,2.3,4784,4466518.36,35.74%,145.17
Midea-SHDQZY,【新】近30天搜索电饭煲未购买-1008,新标签人群,无线,京东快车(搜索),电饭煲-明辉_电饭煲_单投,WFZ5099IH-端中,167072,10760,6.44%,25088.79,150.17,2.33,1563,787159.47,14.53%,31.37
Midea-SHDQZY,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),电饭煲-明辉_电饭煲_单投,WFZ5099IH-端中,164192,12433,7.57%,29331.03,178.64,2.36,4685,4438582.8,37.68%,151.33
Midea-SHDQZY,【新】近30天浏览电饭煲-1005,新标签人群,PC,品牌聚效,新品电饭煲,PC展示,159930,219,0.14%,1184.53,7.41,5.41,17,4236,7.76%,3.58
Midea-SHDQZY,【新】30天厨小浏览未购-0605,新标签人群,无线,京东直投,,,156877,6302,4.02%,1844.12,11.76,0.29,10,2829,0.16%,1.53
Midea-SHDQZY,【新】30天厨小浏览未购-0605,新标签人群,无线,京东直投,,,151268,5544,3.67%,1885.38,12.46,0.34,28,5703.2,0.51%,3.02
Midea-SHDQZY,默认浏览人群,京选人群,无线,京东快车(搜索),C22-E301-明辉-电磁炉_单投-copy,C22-E301--明辉-搜索_单投,147964,10327,6.98%,32240.81,217.9,3.12,2534,1711663.22,24.54%,53.09
Midea-SHDQZY,【新】近30天搜索电饭煲未购买-1008,新标签人群,无线,京东快车(搜索),MB-30LH5-电饭煲-明辉_电饭煲_单投,MB-30LH5搜索位置-,145766,6781,4.65%,14384.01,98.68,2.12,562,387079.7,8.29%,26.91
Midea-SHDQZY,默认购买人群,京选人群,无线,京东快车(搜索),C22-E301-明辉-电磁炉_单投-copy,C22-E301--明辉-搜索_单投,143415,10086,7.03%,31354,218.62,3.11,2545,1718749.88,25.23%,54.82
Midea-SHDQZY,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),C22-E301-明辉-电磁炉_单投-copy,C22-E301--明辉-搜索_单投,141420,10002,7.07%,31242.98,220.92,3.12,2372,1701538.2,23.72%,54.46
Midea-SHDQZY,自定义-电磁炉兴趣人群,标签人群,无线,京东快车(搜索),C22-E301-明辉-电磁炉_单投-copy,C22-E301--明辉-搜索_单投,140367,9698,6.91%,30144.34,214.75,3.11,2384,1674889.94,24.58%,55.56
Midea-SHDQZY,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,无线,京东快车(搜索),腰带店铺-_生活电器_腰部广告,腰带店铺-端-活动,138509,5200,3.75%,4305.72,31.09,0.83,746,210469.78,14.35%,48.88
