user_nick,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,2076192,11743,0.57%,11075.58,5.33,0.94,19,14342.2,0.16%,1.29
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,1649474,14453,0.88%,9623.73,5.83,0.67,29,25948.2,0.20%,2.7
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,1646355,6786,0.41%,5347.62,3.25,0.79,12,28122,0.18%,5.26
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,1587183,14525,0.92%,11640.44,7.33,0.8,33,43053.8,0.23%,3.7
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,1293758,6165,0.48%,4372.99,3.38,0.71,1,499,0.02%,0.11
midea-rsq2,【新】净水-30天未浏览美的,新标签人群,无线,京东直投,,,1180211,5223,0.44%,25795.21,21.86,4.94,22,23918.4,0.42%,0.93
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,1177183,9345,0.79%,7224.75,6.14,0.77,20,17826,0.21%,2.47
midea-rsq2,电热-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,1163710,12432,1.07%,34066.1,29.27,2.74,588,573860.5,4.73%,16.85
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,1148037,4455,0.39%,4145.48,3.61,0.93,11,8496,0.25%,2.05
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,1044530,3728,0.36%,3439.36,3.29,0.92,1,888,0.03%,0.26
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,1029440,6949,0.68%,21360.96,20.75,3.07,6,5608,0.09%,0.26
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,984243,5280,0.54%,4035.91,4.1,0.76,10,10286,0.19%,2.55
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,979790,7489,0.76%,7453.01,7.61,1,19,18404.2,0.25%,2.47
midea-rsq2,【新】拉新-DMP-热水器跨品类拉新,新标签人群,无线,京东直投,,,932365,3968,0.43%,2865.42,3.07,0.72,3,2177,0.08%,0.76
midea-rsq2,净水-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,828274,6906,0.83%,24471.36,29.55,3.54,126,149104.9,1.82%,6.09
midea-rsq2,【新】拉新-DMP-饮水机品类拉新,新标签人群,无线,京东直投,,,808159,2663,0.33%,2288.97,2.83,0.86,6,7161,0.23%,3.13
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,789090,3449,0.44%,2410.64,3.05,0.7,10,10139,0.29%,4.21
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,766440,8107,1.06%,4893.21,6.38,0.6,20,17920,0.25%,3.66
midea-rsq2,【新】拉新-DMP-饮水机品类拉新,新标签人群,无线,京东直投,,,756865,2015,0.27%,2385.18,3.15,1.18,2,968,0.10%,0.41
midea-rsq2,【新】燃热-30天未浏览美的,新标签人群,无线,京东直投,,,660250,3921,0.59%,17333.32,26.25,4.42,48,61082,1.22%,3.52
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,633929,5840,0.92%,5877.64,9.27,1.01,15,12386,0.26%,2.11
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,618530,3857,0.62%,7751.99,12.53,2.01,16,17655,0.41%,2.28
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,580470,3758,0.65%,3763.21,6.48,1,16,78931.15,0.43%,20.97
midea-rsq2,净水-意向-行业30日浏览未购买,新标签人群,无线,京东直投,,,576164,3489,0.61%,9734.36,16.9,2.79,31,34543.2,0.89%,3.55
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,569951,3759,0.66%,4351.59,7.64,1.16,4,2676,0.11%,0.61
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,551344,2117,0.38%,1811.68,3.29,0.86,3,1837,0.14%,1.01
midea-rsq2,智能定向人群-视觉定向,智能定向,无线,京东直投,,,547741,5678,1.04%,3835.16,7,0.68,15,11704,0.26%,3.05
