user_nick,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,3626818,86579,2.39%,37218.22,10.26,0.43,29,55221,0.03%,1.48
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,2841370,28024,0.99%,14874.46,5.23,0.53,20,31380,0.07%,2.11
LittleSwan-Washer,【新】拉新-DMP-跨品类拉新,新标签人群,无线,京东直投,,,2424073,3340,0.14%,9281.01,3.83,2.78,6,8394,0.18%,0.9
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,2193315,19562,0.89%,12704.84,5.79,0.65,56,100724,0.29%,7.93
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,2161880,21188,0.98%,10853.98,5.02,0.51,8,14092,0.04%,1.3
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,2113541,39838,1.88%,18005.54,8.52,0.45,17,32678,0.04%,1.81
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,1831365,14164,0.77%,7385.59,4.03,0.52,6,7899,0.04%,1.07
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,1576552,11605,0.74%,5972.43,3.79,0.51,5,11945,0.04%,2
LittleSwan-Washer,近30天内浏览所选种子商品的人群,定向推荐人群,无线,品牌聚效,12月份计划_小天鹅洗衣机,无线首焦-top洗衣机人群&amp;竞品,1494424,7761,0.52%,124691,83.44,16.07,158,248067,2.04%,1.99
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,1443703,16333,1.13%,6444.62,4.46,0.39,4,7395,0.02%,1.15
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,1405625,26992,1.92%,11834.87,8.42,0.44,9,14207,0.03%,1.2
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,1360008,8984,0.66%,4805.63,3.53,0.53,6,10694,0.07%,2.23
LittleSwan-Washer,自定义-洗衣机竞品top100-7天,标签人群,无线,品牌聚效,12月份计划_小天鹅洗衣机,无线首焦-top洗衣机人群&amp;竞品,1179593,6457,0.55%,97982.29,83.06,15.17,202,489514,3.13%,5
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,1114071,7647,0.69%,4069.73,3.65,0.53,5,11295,0.07%,2.78
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,1106787,7625,0.69%,4035.68,3.65,0.53,5,10345,0.07%,2.56
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,1088155,8772,0.81%,5125.61,4.71,0.58,13,32085,0.15%,6.26
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,1012885,12028,1.19%,4544.99,4.49,0.38,-,-,-,-
LittleSwan-Washer,自定义-小天鹅扩展至三级品牌+三级类目,标签人群,无线,品牌聚效,12月份计划_小天鹅洗衣机,无线首焦-品牌人群[意向],855110,5623,0.66%,79821.71,93.35,14.2,414,850438,7.36%,10.65
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,816861,6616,0.81%,3522.41,4.31,0.53,16,25834,0.24%,7.33
LittleSwan-Washer,九数_20190607_洗衣机_618跨品_干预组,外部导入人群,无线,京东直投,,,745291,1060,0.14%,3014.26,4.04,2.84,3,7247,0.28%,2.4
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,511704,3262,0.64%,2645.81,5.17,0.81,10,20990,0.31%,7.93
LittleSwan-Washer,【新】竞品-海尔topsku浏览未购,新标签人群,无线,品牌聚效,12月份计划_小天鹅洗衣机,无线首焦-top洗衣机人群&amp;竞品,508416,2590,0.51%,43445.82,85.45,16.77,52,77220,2.01%,1.78
LittleSwan-Washer,近30天内加购、加关注所选种子商品的人群,定向推荐人群,无线,品牌聚效,12月份计划_小天鹅洗衣机,无线首焦-top洗衣机人群&amp;竞品,507310,2426,0.48%,41047.6,80.91,16.92,55,104480,2.27%,2.55
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,504264,3205,0.64%,1946.66,3.86,0.61,12,19938,0.37%,10.24
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,463591,3222,0.70%,1232.6,2.66,0.38,3,6897,0.09%,5.6
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,441593,2615,0.59%,2141.46,4.85,0.82,4,9945,0.15%,4.64
LittleSwan-Washer,自定义-小天鹅-银离子系列,标签人群,无线,品牌聚效,12月份计划_小天鹅洗衣机,无线首焦-品牌人群[意向],377110,3317,0.88%,35715.02,94.71,10.77,324,813013,9.77%,22.76
LittleSwan-Washer,【新】DMP-类目意向,新标签人群,无线,京东直投,,,374951,5294,1.41%,3043.74,8.12,0.57,27,43312,0.51%,14.23
LittleSwan-Washer,【新】近30天浏览加购空调未购洗衣机,新标签人群,无线,品牌聚效,12月份计划_小天鹅洗衣机,无线首焦-跨品类核心人群,310986,602,0.19%,6094.22,19.6,10.12,9,27406,1.50%,4.5
LittleSwan-Washer,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),【A+++】TD100V62WADS5_小天鹅洗衣机_单投,TD100V62WADS5搜索无线,229296,23545,10.27%,97765.84,426.37,4.15,2585,6844089.5,10.98%,70
LittleSwan-Washer,【新】DMP-类目意向,新标签人群,无线,京东直投,,,228513,2755,1.21%,1389.19,6.08,0.5,13,19654,0.47%,14.15
LittleSwan-Washer,【新】拉新-DMP-跨品类拉新,新标签人群,无线,京东快车(搜索),【A++++】TG100V20WDG_小天鹅洗衣机_单投,搜索-无线,228396,33500,14.67%,111059.6,486.26,3.32,4828,9935807.07,14.41%,89.46
LittleSwan-Washer,近30天内浏览所选种子商品的人群,定向推荐人群,无线,品牌聚效,12月份计划_小天鹅洗衣机,无线首焦-品牌人群,214229,722,0.34%,15955.18,74.48,22.1,28,52722,3.88%,3.3
LittleSwan-Washer,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),【A+++】TD100V62WADS5_小天鹅洗衣机_单投,TD100V62WADS5搜索无线,207619,22628,10.90%,90864.73,437.65,4.02,2733,7190060.5,12.08%,79.13
LittleSwan-Washer,自定义-洗衣机竞品top100-7天,标签人群,无线,品牌聚效,竞品【618临时】,竞品,203841,1333,0.65%,29063.45,142.58,21.8,26,47774,1.95%,1.64
LittleSwan-Washer,自定义-扩展至美的品牌人群3个月已购加购,标签人群,无线,京东直投,,,195322,3426,1.75%,1506.96,7.72,0.44,-,-,-,-
LittleSwan-Washer,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,无线,京东快车(搜索),【A+++】TD100V62WADS5_小天鹅洗衣机_单投,TD100V62WADS5搜索无线,186325,19172,10.29%,79176.43,424.94,4.13,2103,5549854.5,10.97%,70.09
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,186308,3249,1.74%,1375.05,7.38,0.42,-,-,-,-
LittleSwan-Washer,【新】近30天浏览加购冰箱未购洗衣机,新标签人群,无线,品牌聚效,12月份计划_小天鹅洗衣机,无线首焦-跨品类核心人群,182773,403,0.22%,4227.01,23.13,10.49,14,37968,3.47%,8.98
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,176075,883,0.50%,510.78,2.9,0.58,2,1698,0.23%,3.32
LittleSwan-Washer,【新】近30天已购冰箱未购洗衣机,新标签人群,无线,品牌聚效,12月份计划_小天鹅洗衣机,无线首焦-跨品类核心人群,175843,264,0.15%,6020.18,34.24,22.8,2,3898,0.76%,0.65
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,173281,3226,1.86%,1349.5,7.79,0.42,-,-,-,-
LittleSwan-Washer,【新】洗衣机top200浏览加购未购,新标签人群,无线,品牌聚效,12月份计划_小天鹅洗衣机,无线首焦-top洗衣机人群&amp;竞品,172566,1179,0.68%,15092.24,87.46,12.8,34,79067,2.88%,5.24
LittleSwan-Washer,智能定向人群-视觉定向,智能定向,无线,京东直投,,,168234,4680,2.78%,1242.11,7.38,0.27,2,4998,0.04%,4.02
LittleSwan-Washer,冰箱核心人群（美海美菱容声西门子）,标签人群,无线,京东直投,,,160506,1652,1.03%,613.25,3.82,0.37,-,-,-,-
LittleSwan-Washer,冰箱核心人群（美海美菱容声西门子）,标签人群,无线,京东直投,,,159283,979,0.61%,534.89,3.36,0.55,-,-,-,-
LittleSwan-Washer,【新】近30天已购空调未购洗衣机,新标签人群,无线,品牌聚效,12月份计划_小天鹅洗衣机,无线首焦-跨品类核心人群,152104,246,0.16%,3381.16,22.23,13.74,5,7698,2.03%,2.28
