时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI
20190604~20190626,智能定向人群0视觉定向,智能定向,无线,京东直投,,,353788,2791,0.79%,2185.66,6.18,0.78,3,2048,0.11%,0.94
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0核心词0无线,303713,28268,9.31%,307551.13,1012.64,10.88,3144,3930275.01,11.12%,12.78
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0核心词0无线,267268,25932,9.70%,281015.25,1051.44,10.84,2976,3721642.02,11.48%,13.24
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东直投,,,213440,1401,0.66%,3285.21,15.39,2.34,53,1401343,3.78%,426.56
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东直投,,,170129,1465,0.86%,3286.16,19.32,2.24,66,1421639.9,4.51%,432.61
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0无线,142908,12856,9.00%,61771.97,432.25,4.8,1328,987678.16,10.33%,15.99
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东直投,,,129006,1697,1.32%,4133.04,32.04,2.44,131,145002,7.72%,35.08
20190604~20190626,智能定向人群0视觉定向,智能定向,无线,京东直投,,,126434,619,0.49%,456.18,3.61,0.74,0,0,0,0
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,京东快车(搜索),J30+Q216B0T_烟灶套装_单投,搜索0无线,122461,11864,9.69%,56854.85,464.27,4.79,1273,952960.86,10.73%,16.76
20190604~20190626,【新】爆品浏览未购买0烟灶套装,新标签人群,无线,京东直投,,,121661,938,0.77%,2101.29,17.27,2.24,49,1399658.9,5.22%,666.1
20190604~20190626,智能定向人群0视觉定向,智能定向,无线,京东直投,,,120087,638,0.53%,481.98,4.01,0.76,0,0,0,0
20190604~20190626,【新】家装未浏览烟灶消,新标签人群,无线,京东直投,,,114650,327,0.29%,797.77,6.96,2.44,0,0,0,0
20190604~20190626,【新】618大促高潜人群,京选人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,110771,3911,3.53%,17928.82,161.85,4.58,311,226735.73,7.95%,12.65
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东直投,,,110667,1178,1.06%,2859.72,25.84,2.43,80,87124,6.79%,30.47
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),T33P+Q216B0T_烟灶套装_单投,搜索0无线,105621,8076,7.65%,48811.64,462.14,6.04,923,927783.1,11.43%,19.01
20190604~20190626,618大促类目购买意向人群【油烟机】,标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,104545,3372,3.23%,15353.35,146.86,4.55,242,202465.88,7.18%,13.19
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0核心词0无线,100201,7734,7.72%,77405.35,772.5,10.01,1471,5544367.44,19.02%,71.63
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东快车(搜索),腰部广告_厨大,烟灶消店铺,98407,2832,2.88%,12805.79,130.13,4.52,164,132123.5,5.79%,10.32
20190604~20190626,【新】燃气灶搜索未购0类目,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索0无线,95119,5821,6.12%,20497.39,215.49,3.52,294,221770.5,5.05%,10.82
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0无线,92110,6410,6.96%,31961.04,346.99,4.99,801,793348.27,12.50%,24.82
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,京东快车(搜索),T33P+Q216B0T_烟灶套装_单投,搜索0无线,91891,7424,8.08%,44882.29,488.43,6.05,893,898613.1,12.03%,20.02
20190604~20190626,【新】燃气灶搜索未购0类目,新标签人群,无线,京东快车(搜索),Q216B_燃气灶_单投,搜索0无线,85997,11161,12.98%,33286.79,387.07,2.98,835,468522.62,7.48%,14.08
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,无线,京东快车(搜索),J18+Q216B0T_烟灶套装_单投,搜索0无线,85341,6166,7.23%,30707.12,359.82,4.98,777,770797.27,12.60%,25.1
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索0核心0无线,82426,4543,5.51%,20749.4,251.73,4.57,338,296847,7.44%,14.31
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),J18_油烟机_单投,搜索0核心0无线,80439,5385,6.69%,24318.82,302.33,4.52,492,469462.09,9.14%,19.3
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,PC,京东快车(搜索),T33P+Q216B0T_烟灶套装_单投,搜索0PC,79239,403,0.51%,2175.3,27.45,5.4,59,58100,14.64%,26.71
20190604~20190626,默认浏览人群,京选人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,79149,6025,7.61%,25781.16,325.73,4.28,937,2168281.02,15.55%,84.1
20190604~20190626,【新】爆品浏览未购买0烟灶套装,新标签人群,无线,京东直投,,,77850,1100,1.41%,2527.49,32.47,2.3,111,122969,10.09%,48.65
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0核心词0无线,77804,3655,4.70%,38735.28,497.86,10.6,160,181196,4.38%,4.68
20190604~20190626,【新】燃气灶搜索未购0关键词,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索0无线,77460,4722,6.10%,16879.97,217.92,3.57,240,179008,5.08%,10.6
20190604~20190626,【新】品类7天浏览未购0燃气灶,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索0无线,77230,5626,7.28%,19706.17,255.16,3.5,291,211973.5,5.17%,10.76
20190604~20190626,【新】油烟机搜索未购0类目,新标签人群,无线,京东快车(搜索),T33P_油烟机_单投,搜索0核心0无线,74660,3836,5.14%,18838.8,252.33,4.91,273,276361.7,7.12%,14.67
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索0核心0无线,73269,4139,5.65%,19053.03,260.04,4.6,308,270499.5,7.44%,14.2
20190604~20190626,默认购买人群,京选人群,无线,品牌聚效,6月京选店铺_厨大,京选店铺_厨大,72905,5621,7.71%,23678.98,324.79,4.21,896,2136751.52,15.94%,90.24
20190604~20190626,【新】燃气灶搜索未购0类目,新标签人群,PC,京东快车(搜索),Q216B_燃气灶_单投,搜索0PC,72095,891,1.24%,2389.34,33.14,2.68,103,63836.5,11.56%,26.72
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),T36+Q390T_烟灶套装_单投,搜索0核心词0无线,71068,6112,8.60%,59367.95,835.37,9.71,1386,5445550.79,22.68%,91.73
20190604~20190626,【新】燃气灶搜索未购0关键词,新标签人群,PC,京东快车(搜索),Q216B_燃气灶_单投,搜索0PC,69993,750,1.07%,2033.2,29.05,2.71,89,55393,11.87%,27.24
20190604~20190626,【新】品类7天浏览未购0油烟机,新标签人群,无线,京东快车(搜索),J18_油烟机_单投,搜索0核心0无线,69100,4533,6.56%,20485.12,296.46,4.52,342,299712.5,7.54%,14.63
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),T33P_油烟机_单投,搜索0核心0无线,67680,4268,6.31%,20591.33,304.25,4.82,509,533997.84,11.93%,25.93
20190604~20190626,【新】消毒柜搜索未购0类目,新标签人群,无线,京东快车(搜索),100Q33_消毒柜_单投,搜索0无线,67647,6009,8.88%,19911.78,294.35,3.31,578,526569.16,9.62%,26.45
20190604~20190626,【新】品牌浏览+品类未购0燃气灶,新标签人群,无线,京东快车(搜索),Q35_燃气灶_单投,搜索0无线,67441,5103,7.57%,17772.36,263.52,3.48,273,197685,5.35%,11.12
20190604~20190626,【新】品牌浏览+品类未购0油烟机,新标签人群,PC,京东快车(搜索),T33P+Q216B0T_烟灶套装_单投,搜索0PC,66915,361,0.54%,1963.35,29.34,5.44,55,54792,15.24%,27.91
20190604~20190626,【新】油烟机搜索未购0关键词,新标签人群,无线,京东快车(搜索),T33P_油烟机_单投,搜索0核心0无线,65955,3413,5.17%,16910.3,256.39,4.95,249,249794,7.30%,14.77
20190604~20190626,【新】品类7天浏览未购0燃气灶,新标签人群,无线,京东快车(搜索),Q216B_燃气灶_单投,搜索0无线,65161,9785,15.02%,29079.41,446.27,2.97,781,435331.12,7.98%,14.97
