时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,【新】618大促京东直投广告再营销人群,京选人群,无线,品牌聚效,12月计划_美的洗衣机,无线首焦-跨品类,2300628,5049,0.22%,113465.11,49.32,22.47,24,36889.00,0.48%,0.33,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,923686,21464,2.32%,7340.72,7.95,0.34,12,17488.00,0.06%,2.38,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,526782,7041,1.34%,2110.11,4.01,0.30,3,3627.00,0.04%,1.72,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,品牌聚效,12月计划_美的洗衣机,无线首焦-美的品牌人群,498884,2723,0.55%,46355.99,92.92,17.02,188,388809.20,6.90%,8.39,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,479637,10645,2.22%,3090.31,6.44,0.29,1,799.00,0.01%,0.26,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,466759,10372,2.22%,2992.64,6.41,0.29,7,9893.00,0.07%,3.31,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,462110,7992,1.73%,2696.04,5.83,0.34,1,799.00,0.01%,0.30,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,457133,10406,2.28%,2991.44,6.54,0.29,2,1618.00,0.02%,0.54,
20190604~20190626,【新】发现好货-家电家具家装,新标签人群,无线,品牌聚效,12月计划_美的洗衣机,无线首焦-跨品类,425746,970,0.23%,18604.45,43.70,19.18,3,7697.00,0.31%,0.41,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,390875,7687,1.97%,2439.08,6.24,0.32,9,11585.00,0.12%,4.75,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,355639,6037,1.70%,2084.20,5.86,0.35,6,11689.00,0.10%,5.61,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,346062,3547,1.02%,1107.40,3.20,0.31,6,10788.00,0.17%,9.74,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,344298,6362,1.85%,2031.95,5.90,0.32,-,-,-,-,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,338646,5667,1.67%,1924.97,5.68,0.34,-,-,-,-,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,337125,6838,2.03%,2177.74,6.46,0.32,1,899.00,0.01%,0.41,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,320562,5289,1.65%,1798.78,5.61,0.34,5,7033.00,0.09%,3.91,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,309786,3325,1.07%,1016.10,3.28,0.31,-,-,-,-,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,250761,1653,0.66%,686.80,2.74,0.42,1,819.00,0.06%,1.19,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,247650,1584,0.64%,660.27,2.67,0.42,-,-,-,-,
20190604~20190626,默认购买人群,京选人群,无线,京东快车(搜索),【A++】MG100V51D5_美的洗衣机_单投,【搜索】-无线,226083,18645,8.25%,83661.86,370.05,4.49,1921,4175381.57,10.30%,49.91,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,219436,1291,0.59%,536.88,2.45,0.42,7,6993.00,0.54%,13.03,
20190604~20190626,自定义-洗衣机top180机型不扩展,标签人群,无线,品牌聚效,12月计划_美的洗衣机,top&amp;竞品人群,203163,853,0.42%,11370.79,55.97,13.33,53,85641.00,6.21%,7.53,
20190604~20190626,智能定向人群-视觉定向,智能定向,无线,京东直投,,,183951,1006,0.55%,499.52,2.72,0.50,2,3398.00,0.20%,6.80,
20190604~20190626,【新】广告再营销人群618,新标签人群,无线,品牌聚效,12月计划_美的洗衣机,无线首焦-美的品牌人群,183201,1611,0.88%,24422.92,133.31,15.16,59,91239.00,3.66%,3.74,
