时间,人群名称,人群类型,推广设备,产品线,计划,单元,展现数,点击数,点击率,总费用,千次展现成本,平均点击成本,总订单行,总订单金额,转化率,ROI,
20190604~20190626,默认购买人群,京选人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,117112,9384,8.01%,44285.01,378.14,4.72,474,1177649.00,5.05%,26.59,
20190604~20190626,【新】浏览店铺未购洗消,新标签人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,99706,6713,6.73%,36155.38,362.62,5.39,312,754804.00,4.65%,20.88,
20190604~20190626,【新】浏览洗碗机未购买,新标签人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,71375,6191,8.67%,27386.52,383.70,4.42,377,918467.00,6.09%,33.54,
20190604~20190626,618大促类目购买意向人群【洗碗机】,标签人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,68192,7199,10.56%,28333.89,415.50,3.94,488,1198940.00,6.78%,42.31,
20190604~20190626,默认购买人群,京选人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,64963,5374,8.27%,23587.70,363.09,4.39,248,694149.00,4.61%,29.43,
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,64126,4052,6.32%,20713.87,323.02,5.11,93,231152.00,2.30%,11.16,
20190604~20190626,【新】洗碗机搜索偏好,新标签人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,63253,7037,11.13%,23832.50,376.78,3.39,289,703897.00,4.11%,29.54,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,60715,5056,8.33%,22247.99,366.43,4.40,247,694880.00,4.89%,31.23,
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,60663,5085,8.38%,22290.53,367.45,4.38,241,683759.00,4.74%,30.67,
20190604~20190626,默认购买人群,京选人群,无线,京东快车(搜索),K2_洗碗机_单投,搜索-核心,58309,7393,12.68%,35845.40,614.75,4.85,486,1380496.00,6.57%,38.51,
20190604~20190626,默认购买人群,京选人群,PC,京东快车(搜索),D2_洗碗机_单投,搜索-核心,57649,160,0.28%,800.91,13.89,5.01,7,10824.00,4.38%,13.51,
20190604~20190626,【新】618大促高潜人群,京选人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,55847,3615,6.47%,19131.40,342.57,5.29,107,259303.00,2.96%,13.55,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),K2_洗碗机_单投,搜索-核心,55444,6852,12.36%,33248.61,599.68,4.85,467,1338080.00,6.82%,40.24,
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,无线,京东快车(搜索),K2_洗碗机_单投,搜索-核心,54000,6705,12.42%,32314.43,598.42,4.82,429,1234891.00,6.40%,38.21,
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,48721,4927,10.11%,24493.05,502.72,4.97,362,926276.00,7.35%,37.82,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,48651,3858,7.93%,18391.93,378.04,4.77,210,591018.00,5.44%,32.13,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,48274,4973,10.30%,19971.44,413.71,4.02,456,1135575.00,9.17%,56.86,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,PC,京东快车(搜索),D2_洗碗机_单投,搜索-核心,44919,135,0.30%,699.32,15.57,5.18,7,12324.00,5.19%,17.62,
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,PC,京东快车(搜索),D2_洗碗机_单投,搜索-核心,44395,123,0.28%,606.66,13.67,4.93,5,8726.00,4.07%,14.38,
20190604~20190626,【新】618大促京东直投广告再营销人群,京选人群,无线,品牌聚效,京选店铺_洗碗机,洗碗机店铺,43609,3562,8.17%,16021.45,367.39,4.50,144,329426.00,4.04%,20.56,
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,42682,3984,9.33%,17496.53,409.93,4.39,158,457634.00,3.97%,26.16,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),K2_洗碗机_单投,搜索-核心,40644,5242,12.90%,27620.28,679.57,5.27,354,1012371.00,6.75%,36.65,
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),K2_洗碗机_单投,搜索-核心,40622,6131,15.09%,29607.68,728.86,4.83,352,1016169.00,5.74%,34.32,
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,PC,京东快车(搜索),D2_洗碗机_单投,搜索-核心,39213,118,0.30%,609.13,15.53,5.16,8,15323.00,6.78%,25.16,
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),D2_洗碗机_单投,搜索-核心,34937,107,0.31%,543.87,15.57,5.08,5,7226.00,4.67%,13.29,
20190604~20190626,默认购买人群,京选人群,PC,京东快车(搜索),K2_洗碗机_单投,搜索-核心,34321,1388,4.04%,5993.71,174.64,4.32,147,434021.00,10.59%,72.41,
20190604~20190626,默认购买人群,京选人群,无线,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,33872,3476,10.26%,17511.39,516.99,5.04,318,879760.00,9.15%,50.24,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,32471,3353,10.33%,16898.34,520.41,5.04,313,868869.00,9.33%,51.42,
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,无线,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,31517,3247,10.30%,16189.27,513.67,4.99,293,820591.00,9.02%,50.69,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,PC,京东快车(搜索),K2_洗碗机_单投,搜索-核心,27217,1087,3.99%,4700.56,172.71,4.32,138,403652.00,12.70%,85.87,
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,PC,京东快车(搜索),K2_洗碗机_单投,搜索-核心,27159,1103,4.06%,4752.20,174.98,4.31,133,390681.00,12.06%,82.21,
20190604~20190626,默认购买人群,京选人群,PC,京东快车(搜索),J1_洗碗机_单投,搜索-核心,25686,146,0.57%,553.28,21.54,3.79,12,36988.00,8.22%,66.85,
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),洗碗机_店铺,店铺_洗碗机,24977,863,3.46%,1956.02,78.31,2.27,27,41908.00,3.13%,21.43,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,24753,2506,10.12%,12727.67,514.19,5.08,230,654149.00,9.18%,51.40,
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,PC,京东快车(搜索),K2_洗碗机_单投,搜索-核心,24569,1248,5.08%,5424.72,220.80,4.35,105,313393.00,8.41%,57.77,
20190604~20190626,默认浏览人群,京选人群,PC,京东快车(搜索),K2_洗碗机_单投,搜索-核心,24005,1028,4.28%,4815.52,200.60,4.68,119,349294.00,11.58%,72.54,
20190604~20190626,【新】浏览/加购未购买-洗碗机,新标签人群,无线,京东快车(搜索),K2_洗碗机_单投,搜索-核心,21873,2665,12.18%,10648.79,486.85,4.00,121,342695.00,4.54%,32.18,
20190604~20190626,【新】洗碗机搜索偏好,新标签人群,PC,京东快车(搜索),D2_洗碗机_单投,搜索-核心,21857,50,0.23%,205.53,9.40,4.11,-,-,-,-,
20190604~20190626,默认浏览人群,京选人群,无线,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,21793,1884,8.64%,12163.92,558.16,6.46,148,247147.00,7.86%,20.32,
20190604~20190626,【新】浏览/加购未购买-洗碗机,新标签人群,PC,京东快车(搜索),D2_洗碗机_单投,搜索-核心,21221,48,0.23%,237.66,11.20,4.95,2,5098.00,4.17%,21.45,
20190604~20190626,【新】浏览/加购未购买-洗碗机,新标签人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,20918,1902,9.09%,6929.31,331.26,3.64,49,134677.00,2.58%,19.44,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,PC,京东快车(搜索),J1_洗碗机_单投,搜索-核心,20416,133,0.65%,492.45,24.12,3.70,10,28990.00,7.52%,58.87,
20190604~20190626,【新】浏览洗碗机未购买,新标签人群,无线,京东快车(搜索),K2_洗碗机_单投,搜索-核心,20408,2445,11.98%,9810.14,480.70,4.01,117,331102.00,4.79%,33.75,
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,PC,京东快车(搜索),J1_洗碗机_单投,搜索-核心,20336,126,0.62%,471.79,23.20,3.74,11,31989.00,8.73%,67.80,
20190604~20190626,【新】洗碗机搜索偏好,新标签人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,20259,1623,8.01%,5459.66,269.49,3.36,32,87566.00,1.97%,16.04,
20190604~20190626,近30天浏览、关注、加购过与所选种子相关的三级类目商品的人群,定向推荐人群,无线,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,20226,2122,10.49%,10700.88,529.07,5.04,204,573107.00,9.61%,53.56,
20190604~20190626,默认购买人群,京选人群,无线,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,20159,1725,8.56%,11074.06,549.34,6.42,148,251847.00,8.58%,22.74,
20190604~20190626,【新】浏览洗碗机未购买,新标签人群,PC,京东快车(搜索),D2_洗碗机_单投,搜索-核心,20088,47,0.23%,230.01,11.45,4.89,2,5098.00,4.26%,22.16,
20190604~20190626,【新】浏览洗碗机未购买,新标签人群,无线,京东快车(搜索),J1_洗碗机_单投,搜索-核心,19665,1773,9.02%,6442.17,327.60,3.63,42,115754.00,2.37%,17.97,
20190604~20190626,近30天内浏览所选种子商品的人群,定向推荐人群,无线,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,19216,1627,8.47%,10473.62,545.05,6.44,142,234454.00,8.73%,22.39,
20190604~20190626,默认购买人群,京选人群,PC,京东快车(搜索),Q7_洗碗机_单投,搜索-核心,19000,395,2.08%,1746.44,91.92,4.42,33,95659.43,8.35%,54.77,
20190604~20190626,近30天浏览、关注、加购与所选种子相关的店铺或品牌商品的人群,定向推荐人群,无线,京东快车(搜索),Q1_洗碗机_单投,搜索-核心,18157,1551,8.54%,9695.22,533.97,6.25,123,203373.00,7.93%,20.98,
